"motivation"
" primarily in recognition of his fruitful  varied and outstanding production in the realm of dramatic art "
" for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country "
" for the discovery and the interpretation of the cherenkov effect "
" for the discovery and the interpretation of the cherenkov effect "
" for his basic inventions and discoveries in the area of low temperature physics "
" for their contributions to the theory of optimum allocation of resources "
" for his pioneering theories for condensed matter  especially liquid helium "
" for the discovery and the interpretation of the cherenkov effect "
" for the discovery and the interpretation of the cherenkov effect "
" for his fundamental research in quantum mechanics  especially for his statistical interpretation of the wavefunction "
" for their discovery and development of the diene synthesis "
" for the discovery of the antibacterial effects of prontosil "
" for his work on the use of isotopes as tracers in the study of chemical processes "
" in recognition of the services he rendered to the advancement of physics by his discovery of energy quanta "
" for his work on carotenoids and vitamins "
" for his work on carotenoids and vitamins "
" for his discovery of the diffraction of x rays by crystals "
" for his discovery of the doppler effect in canal rays and the splitting of spectral lines in electric fields "
" for their discovery of the laws governing the impact of an electron upon an atom "
" for the creation of quantum mechanics  the application of which has  inter alia  led to the discovery of the allotropic forms of hydrogen "
" for the coincidence method and his discoveries made therewith "
" for the coincidence method and his discoveries made therewith "
" for their discoveries concerning nuclear shell structure "
" for his investigations of the constitution of the bile acids and related substances "
" for the services rendered through his research into the constitution of the sterols and their connection with the vitamins "
" for his discovery of the fission of heavy nuclei "
" for their discovery and development of the diene synthesis "
" for his discoveries in the field of macromolecular chemistry "
" for his discoveries in the field of macromolecular chemistry "
" for their discoveries in the field of the chemistry and technology of high polymers "
" for their development of the use of boron  and phosphorus containing compounds  respectively  into important reagents in organic synthesis "
" for his discovery of the nature and mode of action of the respiratory enzyme "
" for their discoveries concerning heart catheterization and pathological changes in the circulatory system "
" for their discoveries concerning heart catheterization and pathological changes in the circulatory system "
" for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of german literature "
" for their discoveries concerning organization and elicitation of individual and social behaviour patterns "
" for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton "
" for her non violent struggle for democracy and human rights "
" for the synthesis of ammonia from its elements "
" for their pioneering analysis of equilibria in the theory of non cooperative games "
" for his important efforts  on several continents and over more than three decades  to resolve international conflicts "
" for their discoveries concerning the peptide hormone production of the brain "
" for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid "
" in recognition of their work on immunity "
" in recognition of their work on immunity "
" for his contributions to the theory of nuclear reactions  especially his discoveries concerning the energy production in stars "
" for an all embracing authorship  imbued with clarity of thought and poetic intensity "
" in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him "
" for his discoveries regarding the laws governing the radiation of heat "
" for the discovery of the reciprocal relations bearing his name  which are fundamental for the thermodynamics of irreversible processes "
" for their contributions to the development of the concept of conformation and its application in chemistry "
" for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism "
" for his discovery of streptomycin  the first antibiotic effective against tuberculosis "
" for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell "
" for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell "
" for his invention of the method of micro analysis of organic substances "
" for his work on serum therapy  especially its application against diphtheria  by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths "
" for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality "
" in recognition of their work on immunity "
